Kernel Used,Fold N°,Validation Accuracy,Train Time,Train Time (s),Validation Time,Validation Time (s)
linear,0,87.14,"0 h, 22 m, 43 s",1363.2,"0 h, 0 m, 41 s",41.19
linear,1,87.22,"0 h, 22 m, 24 s",1344.65,"0 h, 0 m, 40 s",40.11
linear,2,87.51,"0 h, 20 m, 40 s",1240.98,"0 h, 0 m, 40 s",40.32
linear,3,75.69,"0 h, 14 m, 33 s",873.81,"0 h, 0 m, 32 s",32.56
rbf,0,88.15,"0 h, 5 m, 35 s",335.43,"0 h, 1 m, 27 s",87.52
rbf,1,88.34,"0 h, 5 m, 35 s",335.42,"0 h, 1 m, 29 s",89.02
rbf,2,88.56,"0 h, 5 m, 40 s",340.04,"0 h, 1 m, 28 s",88.39
rbf,3,75.89,"0 h, 4 m, 41 s",281.05,"0 h, 1 m, 15 s",75.73
poly,0,87.59,"0 h, 6 m, 1 s",361.5,"0 h, 0 m, 52 s",52.71
poly,1,88.15,"0 h, 6 m, 19 s",379.22,"0 h, 0 m, 53 s",53.87
poly,2,87.96,"0 h, 6 m, 18 s",378.6,"0 h, 0 m, 54 s",54.1
poly,3,73.33,"0 h, 5 m, 18 s",318.63,"0 h, 0 m, 44 s",44.96
sigmoid,0,74.01,"0 h, 1 m, 42 s",102.28,"0 h, 0 m, 33 s",33.14
sigmoid,1,73.93,"0 h, 1 m, 40 s",100.66,"0 h, 0 m, 33 s",33.24
sigmoid,2,73.69,"0 h, 1 m, 45 s",105.23,"0 h, 0 m, 34 s",34.34
sigmoid,3,65.26,"0 h, 1 m, 20 s",80.62,"0 h, 0 m, 25 s",25.72
